"filename", "language", "PHP", "HTML", "Markdown", "JavaScript", "JSON", "CSS", "SQL", "SCSS", "XML", "YAML", "comment", "blank", "total"
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_12_14_154857_create_settings_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"d:\IT7099_Project\Exam_Scheduling_Portal\database\seeders\DatabaseSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 27
"d:\IT7099_Project\Exam_Scheduling_Portal\database\seeders\majorsSeeder.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 29
"d:\IT7099_Project\Exam_Scheduling_Portal\database\seeders\schedule_seeder.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 31
"d:\IT7099_Project\Exam_Scheduling_Portal\database\seeders\timeslotsSeeder.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 30
"d:\IT7099_Project\Exam_Scheduling_Portal\database\seeders\yearsSeeder.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 30
"d:\IT7099_Project\Exam_Scheduling_Portal\package-lock.json", "JSON", 0, 0, 0, 0, 17886, 0, 0, 0, 0, 0, 0, 1, 17887
"d:\IT7099_Project\Exam_Scheduling_Portal\package.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"d:\IT7099_Project\Exam_Scheduling_Portal\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 1, 32
"d:\IT7099_Project\Exam_Scheduling_Portal\public\css\app.css", "CSS", 0, 0, 0, 0, 0, 8573, 0, 0, 0, 0, 6, 1443, 10022
"d:\IT7099_Project\Exam_Scheduling_Portal\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"d:\IT7099_Project\Exam_Scheduling_Portal\public\js\app.js", "JavaScript", 0, 0, 0, 28434, 0, 0, 0, 0, 0, 0, 15575, 5938, 49947
"d:\IT7099_Project\Exam_Scheduling_Portal\public\mix-manifest.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\IT7099_Project\Exam_Scheduling_Portal\public\sql\majors.sql", "SQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\IT7099_Project\Exam_Scheduling_Portal\public\sql\schedule.sql", "SQL", 0, 0, 0, 0, 0, 0, 27667, 0, 0, 0, 0, 1, 27668
"d:\IT7099_Project\Exam_Scheduling_Portal\public\sql\timeslots.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\IT7099_Project\Exam_Scheduling_Portal\public\sql\years.sql", "SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\js\app.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 19, 7, 32
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 23, 11, 42
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\lang\en\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\lang\en\validation.php", "PHP", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 161
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 3, 20
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\sass\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 9
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\Courses.blade.php", "PHP", 926, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 972
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\Includes\navbar.blade.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 128
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\Invigilators.blade.php", "PHP", 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 432
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\Labs.blade.php", "PHP", 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39, 440
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\Layouts\app.blade.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\Schedule.blade.php", "PHP", 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 62, 919
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\auth\login.blade.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 74
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\auth\passwords\confirm.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\auth\passwords\email.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\auth\passwords\reset.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 66
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\auth\register.blade.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 78
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\auth\verify.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\home.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\index.blade.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\testing.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\IT7099_Project\Exam_Scheduling_Portal\resources\views\welcome.blade.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 133
"d:\IT7099_Project\Exam_Scheduling_Portal\routes\api.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 22
"d:\IT7099_Project\Exam_Scheduling_Portal\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"d:\IT7099_Project\Exam_Scheduling_Portal\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"d:\IT7099_Project\Exam_Scheduling_Portal\routes\web.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 90
"d:\IT7099_Project\Exam_Scheduling_Portal\server.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 22
"d:\IT7099_Project\Exam_Scheduling_Portal\tailwind.config.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\IT7099_Project\Exam_Scheduling_Portal\tests\CreatesApplication.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23
"d:\IT7099_Project\Exam_Scheduling_Portal\tests\Feature\ExampleTest.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"d:\IT7099_Project\Exam_Scheduling_Portal\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\IT7099_Project\Exam_Scheduling_Portal\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"d:\IT7099_Project\Exam_Scheduling_Portal\vendor\facade\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 27, 0, 32
"d:\IT7099_Project\Exam_Scheduling_Portal\vendor\facade\ignition\resources\compiled\index.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\IT7099_Project\Exam_Scheduling_Portal\webpack.mix.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 10, 3, 17
"Total", "-", 5631, 12, 46, 28472, 26198, 8576, 27677, 17, 29, 14, 17207, 8472, 122351
